satellite,number,uplink,downlink,beacon,mode,callsign,status
MIR-SAT1 (MO-112),48868,145.9875,436.925,,9600bps GMSK Digipeater,3B8MIR,re-entered
MiTEE-1,47314,,437.800,,9600bps FSK,WL9XJH,inactive
MITSUBA,,,437.375,437.375,1k2AFSKCW,,failure
MONITOR-1 (SXC3-212 MGU),53374,,437.550,,2400bps GMSK USP,RS32S,active
MOVE-2,43780,437.800,145.950,145.950,12k5 BPSK CW,DB0MVE,active
MOVE-IIb,44398,,145.840,,12k5bps QPSK,,unknown
MO-30 (UNAMSAT-B),24305,,435.138,,1200bps BPSK,,inactive
MO-46 (TiungSat),26548,145.850/145.925,437.325,,38400bps FSK,MYSAT3-11 12,inactive
MO-72 (MaSat-1),38081,,437.345,437.345,625/1250bps 2GFSK CW,HA5MASAT,re-entered
MO-105 (SMOG-P),44832,,437.150,,12.5kbps GMSK,,active
MO-106 (ATL-1),44830,,437.175,,12.5kbps GMSK,,re-entered
MO-110 (SMOG-1),47964,,437.345,437.345,2GMSK CW,,active
MO-112 (MIR-SAT1),48868,145.9875,436.925,,9600bps GMSK,3B8MIR,active
MTCube,,,436.750,,9600bps FSK,,unknown
MTCube-2 (ROBUSTA-1F),53106,,436.750,,1k2AFSK 2k4*/9k6GMSK,,inactive
myPocketQub,,,437.425-437.525,,,,unknown
MXSAT-1(Shaonian-Xing Juvenile-1F),43199,,,436.370,9600bps BPSK,MXSAT-1,active
MYSAT-1,44045,,435.775,,1k2*/4k8/9k6 BPSK,A68MY,active
MYSAT-2 (DHABISAT),49017,,436.908,,1200bps BPSK,A68MX,active
M-Cubed,37855,,437.485,,9600bps GMSK,,active
NanoDragon,49398,,437.365,,1200bps BPSK,,unknown
NanoSail-D2,37361,,,437.270,1200bps AFSK,KE7EGC,re-entered
NanoSat-6 (Oculus-ASR),44346,,437.200,,9600bps GMSK,,unknown
Nanosat-7 (Prox-1),44339,437.345,2300.000,,,,unknown
NanosatC-Br1,40024,,145.865,145.865,1200bps BPSK CW,NCBR1,inactive
NanosatC-Br2,47950,,145.865,,1k2*/2k4/4k8/9k6BPSK,NCBR2,active
NAPA-2,48963,,401.120*/150,,1200bps BPSK,NAPS2,unknown
NARSScube-1 (Egycubesat-1),44792,,,437.970,CW,,inactive
NARSScube-2,44718,,,437.974,CW,,unknown
Nayif-1 (FUNcube-5 EO-88),42017,435.015-435.045,145.990-145.960,145.940,1200*bps BPSK SSB,,active
NCUBE-1,,,437.305,,9600bps GMSK,LA1CUB,failure
NCUBE-2,28897,,437.305,,9600bps FSK,LA1CUB,inactive
NEE-01 Pegaso,39151,,910.000(bandwidth 25MHz),,AMTV-CW SSTV,,non-amateur
NEE-02 Krysaor,39441,,980.000(bandwidth 25MHz),,,,non-amateur
"Negai*"""";36575;;437.305 ;437.305 ;1200bps AFSK CW;JQ1ZEX;re-entered",,,,,,,
NepaliSat-1 (BIRD-NPL),44331,,437.375,437.375,4800bps GMSK CW,JG6YLF,re-entered
NETSAT-1,46506,,435.600,,9600bps FSK,DP2NSA,active
NETSAT-2,46507,,435.600,,9600bps FSK,DP2NSB,active
NETSAT-3,46505,,435.600,,9600bps FSK,DP2NSC,active
NETSAT-4,46504,,435.600,,9600bps FSK,DP2NSD,active
NEXUS (FO-99),43937,145.900-145.930,435.910-435.880,435.900/437.075*,9k6/38k4FSK pi/4QPSK CW*,JS1YAV,active
NEUTRON-1,46923,145.840,435.300,,9k6 FSK/1k2*BPSK_KISS,WH6DNU-1,inactive
NIUSAT,42766,,436.000/2240.000,,1200bps FSK,NIUOBT,inactive
NJUST-1 (CN03),42722,,436.570,,1200bps BPSK,BI4ST,re-entered
NMARS,29662,148.975,27.965,,1200bps FM USB,,re-entered
Nodes-1,41478,,437.100/2401.200-2431.200,,1k2 AFSK 115k2 FSK,KE6QLL,re-entered
Nodes-2,41477,,437.100/2401.200-2431.200,,1k2 AFSK 115k2 FSK,KE6QLL,inactive
NOAA-12,21263,,137.620/1701.000,,,,weather sat
NOAA-14,23455,,137.620/1701.000,,,,weather sat
NOAA-15,25338,,137.620*/1702.500,,,,weather sat
NOAA-16,26536,,137.620/1701.000,,,,weather sat
NOAA-17,27453,,137.500/1701.000,,,,weather sat
NOAA-18,28654,,137.9125*/1707.000,,,,weather sat
NOAA-19,33591,,137.100*/1698.000,,,,weather sat
NOOR-1A (UNICORN-2B),,,,,,,unknown
NOOR-1B (UNICORN-2C),,,,,,,unknown
NOUR-01,45529,,401.500,,9600bps FSK,SPACE,re-entered
NOUR-02,51594,,401.500/2258.000,,9600bps FSK,,non-amateur
Norbi,46494,,436.700,,9600bps FSK/250k_LoRa,CUBSAT,active
NO-44 (PCSAT-1),26931,145.827,145.827,,1200bps AFSK,(A) W3ADO-1,active
NO-44 (PCSAT-1),26931,435.250,145.827,,9600bps FSK,(A) PCSAT-1,active
NO-44 (PCSAT-1),26931,,144.390,,1200bps AFSK,(B) PCSAT-11,inactive
NO-44 (PCSAT-1),26931,,144.390,,9600bps FSK,(B) PCSAT-12,inactive
NO-45 (Sapphire),26932,145.945,437.100,,1200bps AFSK,KE6QMD,inactive
NO-60 (RAFT),29661,145.825,145.825,,1200bps AFSK,RAFT,re-entered
NO-61 (ANDE),29664,145.825,145.825,,1200bps AFSK,ANDE-1,re-entered
NO-62 (FCAL),29667,,437.385,,1200bps AFSK,KD4HBO,re-entered
NO-83 (BRICsat),40655,28.120,435.350,437.975,9600bps FSK PSK31,BRCSAT,inactive
NO-84 (PSat-A/B),40654,28.120,435.350,145.825,1200bps AFSK PSK31,PSAT,re-entered
NO-103 (BRICSAT2 USNAP1),44355,28.120/145.825,145.825/435.350/437.605*,,1k2/9k6* FSK,USNAP1-1,inactive
NO-104 (PSAT-2),44354,28.120/145.825,145.825/435.350*/437.605,,1k2 SSTV* PSK31,,active
NPS-SCAT,39389,,2401.200-2447.600,437.525,1200bps AFSK CW,K6NPS,inactive
NO-116 (SanoSat-1),51031,,436.235,436.235,500*bps GFSK RTTY* CW,AM9NPQ,active
nSight-1 (AZ02),42726,,435.900/2405.000,,9600bps GMSK,ON02AZ,re-entered
NSLSat-1,,,~401/~2200,,,,unknown
NUDT-PhoneSat (CAS-3I),40900,,437.300,,9k6 GFSK,BJ1SJ,inactive
NUDTSat (CN06),42787,,436.270,,9600bps BPSK,BG7AKF,inactive
NuSat-1 (LO-87),41557,435.935-435.965,145.965-145.935,145.900,SSB CW,,inactive
NuSat-1 (LO-87),41557,,436.445,,9k6/19k2/40k0* GFSK,,inactive
NuSat-2,41558,435.935-435.965,145.965-145.935,145.900,SSB CW,,inactive
NuSat-2,41558,,437.445,,9k6/19k2/40k0* GFSK,,inactive
Oculus-ASR (NanoSat-6),44346,,437.200,,9600bps GMSK,,unknown
OF-2,45113,,435.040/2426.000,,9k6 GMSK/3-5Mbps QPSK,KG5UAK,inactive
OMOTENASHI,,,437.310/437.410,,FM PSK31 PCM-PSK/PM,,to be launched
OO-38 (OPAL),26063,,437.100,,9600bps FSK,KF6RFX,inactive
OPS-SAT,44878,,437.200,,9600bps GMSK,DP0OPS,active
OPTOS,39420,,,,,,non-amateur
OPUSAT,39575,,437.154,,1k2AFSK 9k6GFSK CW,JL3ZCA,re-entered
OPUSAT-II (Hirogari),47930,436.500,145.900,145.900,1k2*AFSK/9k6/13k6GMSK CW,JL3ZKS,re-entered
ORBICRAFT-ZORKIY,47960,,437.850*/437.950/10465.000,,2k4/9k6*FSK DVB-S2,RS15S,active
OreSat-0,52017,,436.500/2425.000,436.500,9k6FSK 96kGMSK 1M_DPSK CW,KJ7SAT,active
OrigamiSat-1 (FO-98),43933,,437.505/5840.000,437.497,1200bps AFSK CW,JS1YAX,re-entered
ORS-Squared,,,437.325,,9600bps GMSK,,failure
OSIRIS-3U,43027,,437.505,,9k6-38k4 GMSK,,re-entered
OSSI-1,39131,,437.525,145.980,1200bps AFSK CW,,unknown
OUFTI-1,41458,435.045,145.950,145.980,9600bps DSTAR FSK CW,OUFTI-1,inactive
O/OREOS,37224,,437.305,,1200bps AFSK,KF6JBP,inactive
PACE,40022,,437.485,437.485,1200bps AFSK CW,,inactive
PACSAT (AO-16),20439,145.920,437.026,,FM USB,,inactive
PACSAT (AO-16),20439,145.920,437.026,2401.143,1200bps JAS,PACSAT-11 12,inactive
Painani-1,44365,,437.475,,9600bps GMSK,SPACE,active
Painani-2,48942,,437.475/2410.300,,9600bps GMSK,,active
PCSAT-1 (NO-44),26931,145.827,145.827,,1200bps AFSK,(A) W3ADO-1,active
PCSAT-1 (NO-44),26931,435.250,145.827,,9600bps FSK,(A) PCSAT-1,inactive
PCSAT-1 (NO-44),26931,,144.390,,1200bps AFSK,(B) PCSAT-11,inactive
PCSAT-1 (NO-44),26931,,144.390,,9600bps FSK,(B) PCSAT-12,inactive
PCSAT-2,,145.825,435.275,437.975,9600bps FSK,PC2TLM,re-entered
Pegasus-1,,,468.000,,FSK,,unknown
Pegasus (AT03),42784,,436.670,,9600bps GMSK,ON03AT,inactive
Perseus-M1,40039,,400.160/400.170*,,9600bps GFSK,CQ,non-amateur
Perseus-M2,40037,,400.190/400.221*,,9600bps GFSK,CQ,non-amateur
PharmaSat-1,35002,,437.465,,1200bps AFSK,KE7EGC,inactive
Phase-3A,,435.153-435.277,145.962-145.838,145.810,SSB CW,,failure
Phase-3B (AO-10),14129,435.030-146.180,145.975-145.825,145.810,SSB CW,,inactive
Phase-3C (AO-13),19216,435.423-435.573,145.975-145.825,145.812,SSB CW,,re-entered
Phase-3D (AO-40),26609,,,2401.323,400bps PSK,,inactive
Phase-4A (Es'Hail-2 QO-100),43700,2400.050-2400.300,10489.550-10489.800,,Linear  transponder,,active
Phase-4A (Es'Hail-2 QO-100),43700,2401.500-2409.500,10491.000-10499.000,,Digital transponder,,unknown
PHOENIX (TW01),42706,,436.915,,9600bps GMSK,ON01TW,re-entered
Phoenix,45258,,437.350/2402.500,,9600bps GMSK,WJ2XOY,inactive
Phoenix (D-Star ONE),43188,437.325,435.525,,D-Star Telemetry,DP1GOS,inactive
PhoneSat1 (BELL),39142,,2401.200-2431.200,437.425,1200bps AFSK,KJ6KRW-1,re-entered
PhoneSat1 (GRAHAM),39146,,2401.200-2431.200,437.425,1200bps AFSK,KJ6KRW-2,re-entered
PhoneSat2 (ALEXANDER),39144,,2401.200-2431.200,437.425,1200bps AFSK,KJ6KRW,re-entered
PhoneSat2.4,39381,,2401.200-2431.200,437.425,1200bps AFSK,KJ6KRW,re-entered
PhoneSat2.5,39684,,2401.200-2431.200,437.425,1200bps AFSK,KJ6KRW,re-entered
PicoDragon,39413,,437.xxx,437.250,1200bps AFSK CW,XV9PID,re-entered
PICPOT,,,437.485,,9600bps FSK,,failure
PICPOT,,,2440.000,,10kbit GFSK,,failure
PicSat,43132,145.910,435.525,,1k2*/9k6 BPSK FM,PICSAT-2,active
PION-BR1,,,437.300,,1k2/9k6 GFSK,,unknown
PLANETUM-1,52738,145.925,436.680,436.680,9k6*GFSK CW Digipeater,,active
PlantSat,52188,,437.240,,4800bps FSK,,active
PLATFORM-1,52770,,400.360,,4k8*/9k6 GFSK,SS2141,active
Pocket-PUCP,,,437.200,437.200,1200bps AFSK CW,,inactive
PolyITAN-1,40042,,437.677,437.677,9600*bps BFSK CW,EM0UKP,active
PolyITAN-2-SAU (UA01),42732,,436.600,,9600bps BPSK,QBUA01,re-entered
Polytech_Universe-1,53371,,436.896/436.996,,,125k LoRa,unknown
Polytech_Universe-2,53372,,437.476/437.576,,,125k LoRa,unknown
POPSAT-HIP1,40028,,437.405,437.405,1k2 9k6 CCSDS CW,POPSAT,inactive
PO-28 (POSAT),22829,145.925/145.975,435.075/435.275,,9600bps FSK,POSAT1-11 12,inactive
PO-34 (PANSAT),25520,436.500,,,Spectrum,,inactive
PO-63 (PehuenSat),29712,,145.825,,1200bps AFSK,LU1YUC,inactive
PO-101 (Diwata-2),43678,437.500,145.900,145.900,FM* tone 141.3Hz CW,D1W2PH,active
Pratham,41783,,437.455,145.980,1200bps AFSK CW,PRATHAM,inactive
PrintSat,,,437.325,,9600bps GMSK,,failure
PRISM (HITOMI),33493,,437.425,437.250,1k2AFSK 9k6GMSK CW*,JQ1YCX,active
Proiteres,38756,,437.485,437.485,1200bps AFSK CW,JL3YZL,inactive
Proiteres-2,,435.650,145.850,145.850,1k2AFSK Digipeater CW,,unknown
Prox-1 (Nanosat-7),44339,437.345,2300.000,,,,unknown
PSAT (NO-84),40654,28.120/145.825,435.350/145.825,,1200bps AFSK PSK31,PSAT,re-entered
PSAT-2 (NO-104),44354,29.350/145.825,145.825/435.350*/437.605,,1k2 SSTV* PSK31,,active
PTecSat,,,436.000/437.000-437.200,,1200bps AFSK,,unknown
PUCP-SAT-1,39442,145.840,145.840/437.200,,1200bps AFSK,,inactive
PW-Sat1,38083,435.020,145.900,145.902,1200bps BPSK FM CW,VOID,inactive
PW-Sat2,43814,,435.275,,1k2/9k6* BPSK,,re-entered
PyCubed-1,,,437.290,,3000bps FSK LoRa,,unknown
QARMAN,45263,,437.350,,9600bps GMSK,ON05BE,inactive
QB50p1 (EO-79 FUNcube-3),40025,435.047-435.077,145.965-145.935,145.815,1200bps BPSK CW SSB,QB50P1,inactive
QB50p2 (EO-80),40032,435.080,145.880/145.840,145.880,1200bps BPSK CW FM,QB50P2,inactive
QBEE (SE01),42708,,435.800,,9600bps GFSK,ON01SE,re-entered
QBITO (ES01),42728,,436.810,,9600bps GFSK,,re-entered
QIKCOM-1,,145.825,145.825,144.390,1200bps AFSK,QIKCOM-1,inactive
QMR-KWT,48943,,436.500,,9600bps GMSK,LZ0KWT,inactive
QO-100 (Phase-4A Es'Hail-2),43700,2400.050-2400.300,10489.550-10489.800,,Linear  transponder,,active
QO-100 (Phase-4A Es'Hail-2),43700,2401.500-2409.500,10491.000-10499.000,,Digital transponder,,unknown
QUAKESAT,27845,,436.682,,9600bps FSK,KD7OVB,inactive
Quantutong-1 (TY-6 Tianyi-6 Xiaoxiang-6),43158,436.100/2415.000/5667.000,436.100*/2415.000/5845.000,,9k6 GMSK/5Mbps OFDM,,inactive
Qubesat,,,437.740,,5k5 2FSK,,failure
Qubescout-S1,39443,,437.525,,9600bps GMSK,,inactive
Qubik-1,,,435.240,,9k6GFSK/GMSK/BPSK 19k2/38k4QPSK,,failure
Qubik-2,,,435.340,,9k6GFSK/GMSK/BPSK 19k2/38k4QPSK,,failure
Qubik-3,,,435.240,,9600bps GFSK/BPSK,,re-entered
Qubik-4,,,435.240,,9600bps GFSK/BPSK,,re-entered
QUETZAL-1,45598,,437.200,,4800bps GMSK,,re-entered
Q-PACE,,,437.275,,9600bps FSK,,inactive
Raavana-1 (BIRD-LKA),44329,,437.375,437.375,4800bps GMSK CW,JG6YLG,re-entered
RACE,,,437.525,437.525,38k4 GMSK CW,,failure
RadFxSat (Fox-1B AO-91),43017,435.250,145.960,145.960,FM* CTCSS 67.0Hz/200bps DUV,,active
RadFXsat-2 (Fox-1E AO-109),47311,145.860-145.890,435.790-435.760,435.750,1k2 BPSK SSB CW* FT4*,,active
RadSat-g,43553,,437.425,,9600bps GMSK,K7MSU,inactive
RadSat-u,45262,,437.425,,19200bps GMSK,,inactive
RAFT (NO-60),29661,145.825,145.825,,1200bps AFSK,RAFT,re-entered
RAIKO,38852,,2.285GHz 13GHz,2285.000,38.4Kbps-500Kbps BPSK,,non-amateur
RAMSAT,48850,,436.300,,9600bps FSK,CQ,re-entered
RANDEV,52898,,436.030,,1k2*/9k6 BPSK,RANDEV,active
RANGE-A,43772,,437.150,,0.1kbps-115.2kbps FSK/MSK/GFSK/GMSK,,inactive
RANGE-B,43773,,437.475,,0.1kbps-115.2kbps FSK/MSK/GFSK/GMSK,,inactive
RASAT,37791,,437.400,,9600bps FSK,RASAT0-11 12,inactive
RAX-1,37223,,437.505,,9600bps GMSK,RAX-1,inactive
RAX-2,37853,,437.345,,9600bps GMSK,,inactive
Reaktor Hello World,43743,,437.775/2410.000,437.775,9k6* 2GFSK/1MbpsMSK CW*,OH2RHW1,active
RESHUCUBE (SXC3-2111 SibSU),53382,,435.380,,2400bps GMSK USP,RS8S,active
RINCON,,,436.870,437.345,1200bps AFSK,WA4CEW,failure
RISING-2,39769,435.xxx,2401.xxx,,1200bps 9600-96000bps,,non-amateur
ROBUSTA-1A,38084,,437.325,,1200bps AFSK,,inactive
ROBUSTA-1B,42792,,437.325,437.325,1200bps AFSK CW,FX6FR,active
ROBUSTA-1D (CELESTA),53111,,436.500,,1k2AFSK 2k4*/9k6GMSK,FX6FRB,active
ROBUSTA-1F (MTCube-2),53106,,436.750,,1k2AFSK 2k4*/9k6GMSK,FX6FRA,inactive
RSP-00,43639,,145.890/436.930,145.890,1k2AFSK 38k4 pi/4QPSK CW,8J1RSP,inactive
RSP-01,47925,,145.810,145.810,1k2AFSK/9k6*GMSK/19k2FSK CW,8N1RSP,re-entered
RS-1 (Radio Sputnik 1),11085,,,,,,non-operational
RS-2 (Radio Sputnik 2),11086,,,,,,non-operational
RS-3 (Radio Sputnik 3),12997,,,,,,non-operational
RS-4 (Radio Sputnik 4),13000,,,,,,non-operational
RS-5 (Radio Sputnik 5),12999,,,,,,non-operational
RS-6 (Radio Sputnik 6),13002,,,,,,non-operational
RS-7 (Radio Sputnik 7),13001,,,,,,non-operational
RS-8 (Radio Sputnik 8),12998,,,,,,non-operational
RS-9 (Radio Sputnik 9),,,,,,,project canceled
RS-10 (COSMOS 1861),18129,,,29.357/29.403,CW,,non-operational
RS-11 (COSMOS 1861),18129,,,29.357/29.403,CW,,non-operational
RS-12 (COSMOS 2123),21089,21.210- 21.250,29.410- 29.450,29.408,SSB CW,,non-operational
RS-13 (COSMOS 2123),21089,21.260- 21.300,145.860-145.900,145.862,SSB CW,,non-operational
RS-14 (Informator-1),21087,,,145.822/145948,CW,,non-operational
RS-15 (Radio Rosto),23439,,,29.3525/29.3987,CW,,unknown
RS-16 (Mozhayets-2),24744,,,435.510,CW,,re-entered
RS-17 (Sputnik 40),24958,,,145.820,CW,,re-entered
RS-18 (Sputnik 41),25533,,,145.812,CW,,re-entered
RS-19 (Sputnik 99),25685,,,145.815,CW,,re-entered
RS-20 (Mozhayets-3),27560,,,145.828/435.319,CW,,re-entered
RS-21 (Kolibri-2000),27394,,,145.825,CW,,re-entered
RS-22 (Mozhayets-4),27939,,,432.098/435.352,CW,,unknown
RS-23 (Tatyana),28523,,,435.215/435.315,CW,,non-operational
RS-24,,,,,,,unknown
RS-25 (Mozhayets-5),28898,,,435.325,CW,,unknown
RS-26 (Sinah-1),28893,,,,,,engineering
RS-27 (Baumanets-1),,,,,,,launch failed
RS-28 (UgatuSat),35869,,,435.264,CW,,non-operational
RS-29 (Sterkh),,,,,,,id reserved
RS-30 (Yubileiniy-1),32953,,,435.215/435.315,CW,,non-operational
RS-31 to RS-37,,,,,,,for orbcomm
RS-38 (Tatyana-2),35868,,,435.490,CW,,non-operational
RS-39 (Chibis-M),38051,,,435.215/435.315,CW,,non-operational
RS-40 (Yubileyny-2 MiR),38735,,,435.365,CW,,non-operational
RS-41 (AIST-1),39492,,,435.265,CW,,non-operational
RS-42,,,,,,,unknown
RS-43 (AIST-2),39133,,,435.215/435.265,CW,,non-operational
RS-44 (DOSAAF-85),44909,145.935-145.995,435.670-435.610,435.605,SSB CW FT4,RS44,operational
RS-45,,,,,,,unknown
RS-46 (COSMOS-2491),39497,,,435.465/435.565,CW,,non-operational
RS-47 (COSMOS-2499),39765,,,435.465/435.565,CW,,non-operational
RS-48 (AIST-2D),41465,,,435.315,CW,,non-operational
RWASAT-1,44790,,,,,,unknown
R5-S1,,,,,,,failure
SACRED,,,436.870,,1200bps AFSK,WA4CEW,failure
SAFIR-S,25399,,,2401.900,9600bps FSK,DP1AIS,inactive
SamSat-218D,41466,435.590-435.610,145.850-145.890,145.870,TRXSSAU CW,SAMSAT-218D,inactive
SALSAT,46495,,435.900/435.950,,1200bps AFSK,,active
SanoSat-1 (NO-116),51031,,436.235,436.235,500*bps GFSK RTTY* CW,AM9NPQ,active
SATLLA-1,46927,,437.250/2401.000,,LoRa 476bps-9k6bps,,unknown
SATLLA-2A,50984,,437.250,,9600bps FSK 62.5k LoRa*,,unknown
SATLLA-2B,50986,,437.250,,9600bps FSK 62.5k LoRa*,,unknown
Sathyabamasat,41600,,145.980,,2400bps BPSK CW,SNSAT,inactive
SaudiSat-1A (SO-41),26545,,436.775,,9600bps FSK,SASAT1-11 12,inactive
SaudiSat-1B (SO-42),26549,,436.075,,9600bps FSK,SASAT2-11 12,inactive
SaudiSat-1C (SO-50),27607,145.850,436.795,,FM* tone 67.0Hz,,active
SaudiSat-4,40016,,,,Ka-band SSB,,inactive
SDSAT,47721,,435.500,435.500,LoRa RTTY CW,,inactive
SEAM,,,437.250,,9600bps GMSK,SA0SAT,failure
SEAM-2.0,44411,,437.250/2208.200,,9600bps GMSK,,unknown
SEEDS,,,437.485,,1200bps AFSK,JQ1YGU,failure
SEEDS-II (CO-66),32791,,437.485,437.485,1k2AFSK CW* DigiTalker,JQ1YGU,active
SeeMe,,,437.425/2425.000,437.450,CW,,unknown
SelfieSat,53951,,437.500,,9600bps 2FSK,WJ2XOX,active
Serenity,,,437.100,,4800bps AFSK,,failure
Serenity-2,,,437.100,,4800bps AFSK,,re-entered
SERPENS,40897,,145.980/437.365,,1k2 MSK/9k6 GFSK CW,PY0ESA,re-entered
SGSat,42703,,437.450,,9600bps FSK,,unknown
Shaonian-Xing(Juvenile-1F),43199,,,436.370,9600bps BPSK,MXSAT-1,active
ShindaiSat,39572,,437.305,437.485,1200bps AFSK CW,JR0ZST,re-entered
SHIN'EN2 (FO-82),40320,145.940-145.960,435.280-435.260,437.385/437.505,SSB WSJT/CW,JG6YIG,deep space
SIMBA,47941,,435.310,,9600bps GMSK,,unknown
Siren (SXC3-217),53384,,437.750,,2400bps GMSK USP,RS30S,active
SiriusSat-1(SXC1-181 RS13S),43595,,435.570/435.619,,4800bps GMSK,RS13S,re-entered
SiriusSat-2(SXC1-182 RS14S),43596,,435.670/435.719,,4800bps GMSK,RS14S,re-entered
skCUBE,42789,437.100,437.100/2401.000,437.100,9600bps GMSK Digipeater CW,OM9SAT,inactive
Skoltech-B1,53379,,435.000*/435.600,,9600bps GMSK USP,R0AJU-1,active
Skoltech-B2,53380,,435.000*/435.600,,9600bps GMSK USP,R0AJU-1,active
SkyCube,39567,,915.000,,57.6Kbps,,non-amateur
SMOG-1 (MO-110),47964,,437.345,437.345,2GMSK CW,,active
SMOG-P (MO-105),44832,,437.150,,12.5kbps GMSK,,active
SNet-A,43186,,435.950/2263.000,,1k2*/2k4 FFSK,DP0TBB,inactive
SNet-B,43187,,435.950/2263.000,,1k2*/2k4 FFSK,DP0TBC,inactive
SNet-C,43188,,435.950/2263.000,,1k2*/2k4 FFSK,DP0TBD,inactive
SNet-D,43189,,435.950/2263.000,,1k2*/2k4 FFSK,DP0TBE,inactive
SNUGLITE,43784,,437.275/2405.000,,9600bps GMSK,,inactive
SNUGLITE-II,52899,,436.490/2405.000,,1k2 BPSK 9k6*GMSK,DS0DH,unknown
SNUSAT-1 (KR02),42733,,436.090,,1200bps BPSK,ON02KR,re-entered
SNUSAT-2,43782,,437.625/2402.000,,9k6 BPSK/1.06Mbit DQPSK,,inactive
SNUSAT-1b (KR03),42727,,435.950,,1200bps BPSK,ON03KR,re-entered
SOAR,48851,,401.723,,,,non-amateur
Sokrat,44404,,436.000,,4800bps mobitex GMSK,,active
SOCRATES,39768,,,,,,non-amateur
SOCRATES,,,914.700,,,,unknown
SOHLA-1 (MAIDO-1),33496,,437.505,437.505,1200bps AFSK CW,JL3YUS,inactive
SOMP,39134,,437.485,437.503,1200bps AFSK CW*,DP0TUD,active
SOMP-2 (DE02),42701,,437.405,,9600bps GMSK,,inactive
SOMP-2B,47445,,435.600,,9600bps GMSK,DP2TUD,active
SONATE,44400,,145.840/437.025,,9k6GMSK/GSFK SSTV,,unknown
SORTIE (Helio-5),,450.000,468.000,,,,unknown
SO-33 (SEDSAT-1),25509,,437.910,,9600bps FSK,SEDSAT-1,inactive
SO-35 (SUNSAT-1),25636,436.291,145.825/2250.000,,9600bps FM,SUNSAT-3,inactive
SO-41 (SaudiSat-1A),26545,,436.775,,9600bps FSK,SASAT1-11 12,inactive
SO-42 (SaudiSat-1B),26549,,436.075,,9600bps FSK,SASAT2-11 12,inactive
SO-43 (Starshine),26929,,,145.820,9600bps FSK,STRSHN,re-entered
SO-50 (SaudiSat-1C),27607,145.850,436.795,,FM* tone 67.0Hz,,active
SO-67 (SumbandilaSat),35870,145.875,435.345,435.300,FM tone 233.6Hz,,inactive
SO-114 (EASAT-2),51081,145.875,436.666,436.666,1k2/2k4 AFSK APRS FM CW*,AM5SAT,active
SO-115 (HADES),51080,145.925,436.888,436.888,1k2/2k4 AFSK FM APRS CW,AM6SAT,inactive
SpaceCube (FR05),42717,145.860,436.880,,1200bps AFSK FM,ON05FR,re-entered
Sparrow (D-Star ONE),43881,437.325,435.525/435.700*,,4k8*/9k6 GMSK,DP1GOS,active
SPATIUM-I,43638,,401.000/467.000,,,,non-amateur
SpinSat,40314,,437.230,,9600bps GFSK,,inactive
SPOC,46921,,437.350/2401.300,,9k6 GMSK/2Mbps QPSK,MOCI-1,inactive
SpooQy-1,44332,,435.300/436.200*/437.500,,4k8/9k6* GMSK,,re-entered
SporeSat,39681,,2401.200-2431.200,437.100,1200bps AFSK,,unknown
Sprites,,,437.240/437.325,,125bps MSK,,unknown
Sprites,,,437.240,,CDMA,,re-entered
SPROUT,39770,,437.525,437.525,1k2AFSK 9k6GMSK CW*,JQ1ZJQ,active
SPROUT,39770,437.600,437.600,,Digipeater Digitalker SSTV,,inactive
SRMSAT,37841,145.900,437.500,437.425,CW,,inactive
SSETI (XO-53),28894,,437.250,,9600bps FSK,SSETI1,inactive
STACEM,,,,,,,failure
StangSat,,,,,,,unknown
STARS (KUKAI mother),33498,,437.485,437.305,1200bps FM CW*,JR5YBN,active
STARS (KUKAI daughter),33498,,437.465,437.275,1200bps FM CW*,JR5YBO,active
STARS-AO,43679,,437.400*/437.200,437.350,1k2*AFSK 115kGMSK CW,JJ2YSY,inactive
STARS-C (mother),41895,,437.405,437.245,1200bps FM CW,JJ2YPL,re-entered
STARS-C (daughter),41895,,437.425,437.255,1200bps FM CW,JJ2YPM,re-entered
STARS-EC(A),47928,,437.405/437.200,437.245,115k2 CW,JJ2YVA,re-entered
STARS-EC(B),47928,,437.425/437.200,437.255,115k2 CW,JJ2YVB,re-entered
STARS-EC(C),47928,,437.400/437.200,437.350,115k2 CW,JJ2YVC,re-entered
STARS-II (mother),39579,,437.405,437.245,1200bps AFSK CW,JR5YDX,re-entered
STARS-II (daughter),39579,,437.425,437.255,1200bps AFSK CW,JR5YDY,re-entered
STARS-Me (mother),43640,,437.405,437.245,1k2AFSK 9k6GMSK CW,JJ2YPL,inactive
STARS-Me (daughter),43640,,437.425,437.255,1k2AFSK 9k6GMSK CW,JJ2YPM,inactive
STECCO,47962,,435.800,,9600bps FSK,,inactive
STEP CubeLab (STEP-1),43138,,437.485,437.485,9600bps FSK CW*,,active
STEP CubeLab-II,52897,,437.485,,9600bps GMSK,STEP2,active
STMSat-1,41476,,437.000/437.800,,9600bps GMSK SSTV,,inactive
STRaND-1,39090,,437.568,,9600bps GMSK,,active
StudSat,36796,437.505,437.505,437.861,9600bps FSK CW,,inactive
STU-1,,,2402.000-2445.000,436.360,9600bps GMSK,,failure
SUCHAI,42788,,437.225,437.229,CW,SUCHAI,active
SUCHAI-2,52192,,437.230,,4800bps FSK,,active
SUCHAI-3,52191,,437.250,,4800bps FSK,,active
SuitSat-1 (AO-54),28933,,145.990,,FM,,unknown
